"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","conv_layers","dense_layers","dense_units_1","dense_units_2","dense_units_3","dropout_rate","epochs","filters_layer_1","filters_layer_2","filters_layer_3","filters_layer_4","kernel_size","learning_rate","optimizer","strides","accuracy_train","accuracy_val","epoch/epoch","epoch/accuracy","epoch/val_accuracy","epoch/loss","epoch/val_loss","epoch/learning_rate","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"cl:3, fl1:32, fl2:16, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T22:33:48.000Z","249","","","32","3","1","64","","","0.4","","32","16","64","","3","","","2","0.6222222222222222","0.7555555555555555","19","0.9388889074325562","0.7111111283302307","0.15585801005363464","0.5820589065551758","0.0005000000237487257","0.6991150442477876","0.8135593220338984","0.5524475524475524","0.7741935483870968","0.9518072289156626","0.8571428571428571"
"cl:3, fl1:32, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T22:21:00.000Z","391","","","32","3","1","64","","","0.4","","32","16","32","","3","","","2","0.6555555555555556","0.8","29","0.9555555582046508","0.7777777910232544","0.1544230729341507","0.5263067483901978","0.0002500000118743628","0.7207207207207207","0.8571428571428571","0.5755395683453237","0.7714285714285715","0.963855421686747","0.9642857142857144"
"cl:3, fl1:32, fl2:16, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T21:41:41.000Z","782","","","32","3","1","64","","","0.4","","32","16","16","","3","","","2","0.85","0.8666666666666667","64","0.9555555582046508","0.8888888955116272","0.16155952215194702","0.2727196514606476","0.0000625000029685907","0.8601036269430051","0.896551724137931","0.7545454545454545","0.8666666666666667","1","0.9285714285714286"
"cl:3, fl1:16, fl2:64, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T20:24:54.000Z","297","","","32","3","1","64","","","0.4","","16","64","64","","3","","","2","0.7166666666666667","0.8444444444444444","39","0.9444444179534912","0.6888889074325562","0.12419168651103972","0.7413125038146973","0.0002500000118743628","0.6946107784431138","0.8679245283018868","0.6904761904761905","0.92","0.6987951807228916","0.8214285714285714"
"cl:3, fl1:16, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T20:18:19.000Z","285","","","32","3","1","64","","","0.4","","16","64","32","","3","","","2","0.7388888888888889","0.8444444444444444","28","0.9555555582046508","0.800000011920929","0.1244492530822754","0.46268412470817566","0.0005000000237487257","0.7486631016042781","0.8771929824561403","0.6730769230769231","0.8620689655172413","0.8433734939759037","0.8928571428571429"
"cl:3, fl1:16, fl2:64, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T20:14:21.000Z","212","","","32","3","1","64","","","0.4","","16","64","16","","3","","","2","0.7055555555555556","0.8666666666666667","24","0.9555555582046508","0.644444465637207","0.19547106325626373","0.6111993789672852","0.0002500000118743628","0.7071823204419889","0.8888888888888888","0.6530612244897959","0.9230769230769232","0.7710843373493976","0.8571428571428571"
"cl:3, fl1:16, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T19:57:36.000Z","204","","","32","3","1","64","","","0.4","","16","32","64","","3","","","2","0.7444444444444445","0.9111111111111112","30","0.9444444179534912","0.7111111283302307","0.152924582362175","0.5723035335540771","0.0002500000118743628","0.7386363636363636","0.925925925925926","0.6989247311827957","0.9615384615384616","0.7831325301204819","0.8928571428571429"
"cl:3, fl1:16, fl2:32, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T19:44:57.000Z","223","","","32","3","1","64","","","0.4","","16","32","32","","3","","","2","0.6777777777777778","0.8222222222222222","32","0.9777777791023254","0.6222222447395325","0.12112604081630708","0.8225638270378113","0.0002500000118743628","0.6588235294117647","0.8518518518518519","0.6436781609195402","0.8846153846153846","0.6746987951807228","0.8214285714285714"
"cl:3, fl1:16, fl2:32, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T19:29:13.000Z","479","","","32","3","1","64","","","0.4","","16","32","16","","3","","","2","0.9944444444444444","0.9333333333333332","73","0.9888888597488404","0.9333333373069764","0.0705106109380722","0.25229623913764954","0.00003125000148429535","0.993939393939394","0.9454545454545454","1","0.9629629629629628","0.9879518072289156","0.9285714285714286"
"cl:3, fl1:16, fl2:16, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T19:21:57.000Z","337","","","32","3","1","64","","","0.4","","16","16","64","","3","","","2","0.9722222222222222","0.9555555555555556","50","0.9833333492279052","0.8444444537162781","0.05525392293930054","0.4659506380558014","0.0005000000237487257","0.9693251533742332","0.9642857142857144","0.9875","0.9642857142857144","0.9518072289156626","0.9642857142857144"
"cl:3, fl1:16, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T19:11:05.000Z","337","","","32","3","1","64","","","0.4","","16","16","32","","3","","","2","0.9722222222222222","0.9555555555555556","53","0.9611111283302308","0.8444444537162781","0.1034780740737915","0.350056916475296","0.0001250000059371814","0.970414201183432","0.9642857142857144","0.9534883720930232","0.9642857142857144","0.9879518072289156","0.9642857142857144"
"cl:3, fl1:16, fl2:16, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T19:03:55.000Z","339","","","32","3","1","64","","","0.4","","16","16","16","","3","","","2","0.85","0.9111111111111112","51","0.9555555582046508","0.9333333373069764","0.1209750473499298","0.2543252408504486","0.0002500000118743628","0.8491620111731844","0.9310344827586208","0.7916666666666666","0.9","0.9156626506024096","0.9642857142857144"
"cl:3, fl1:32, fl2:32, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T18:18:37.000Z","631","","","32","3","1","64","","","0.4","","32","32","32","","3","","","2","0.8777777777777778","0.9111111111111112","41","0.9777777791023254","0.9333333373069764","0.09661777317523956","0.22055821120738983","0.0000625000029685907","0.8791208791208791","0.9310344827586208","0.8080808080808081","0.9","0.963855421686747","0.9642857142857144"
"cl:2, fl1:32, fl2:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T08:30:33.000Z","774","","","32","2","1","64","","","0.4","","32","32","","","3","","","2","0.7944444444444444","0.8444444444444444","56","0.855555534362793","0.8666666746139526","0.3388220965862274","0.3173140287399292","0.0000625000029685907","0.8082901554404145","0.8813559322033898","0.7090909090909091","0.8387096774193549","0.9397590361445785","0.9285714285714286"
"cl:1, fl1:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T08:03:07.000Z","202","","","32","1","1","64","","","0.4","","32","","","","3","","","2","0.4888888888888889","0.35555555555555557","11","0.7111111283302307","0.3777777850627899","0.5840023159980774","1.4787299633026123","0.0005000000237487257","0.4831460674157303","0.43137254901960786","0.4526315789473685","0.4782608695652174","0.5180722891566265","0.3928571428571429"
